saleprice,catprice,sale_num,nbhd,quad,usecode,eyb,num_units,landarea,livingarea,rooms,bedrm,bathrm,hf_bathrm,kitchens,fireplaces,lot_type,heater,AC,style,struct_type,grade,condtn,extwall,intwall,roofing
1900000,10,2,33,3,12,1983,1,8000,2310,7,3,2,1,1,1,1,13,3,1,7,1,5,7,12,3
3550000,10,1,40,2,24,1968,4,1540,2541,10,4,4,0,4,0,1,13,3,7,5,9,1,7,4,1
3665454,10,1,20,2,11,1959,1,1598,2332,7,8,3,0,1,1,1,8,2,7,5,9,1,7,4,1
2200000,10,2,42,2,11,2008,2,1800,1951,6,3,1,1,2,0,1,8,2,5,4,2,1,7,4,10
1550000,10,1,7,1,12,1946,1,6000,1728,7,4,2,0,1,1,1,8,2,4,7,1,1,7,4,3
675000,7,2,2,3,12,1953,1,4500,684,4,1,1,0,1,0,1,8,2,1,7,2,1,22,12,9
675000,7,2,2,3,13,1953,1,9000,1230,6,3,1,0,1,0,2,8,2,4,6,2,4,20,1,9
2200000,10,2,39,3,23,1953,4,6196,3720,10,4,4,0,4,0,2,6,3,7,2,2,1,7,5,1
475000,6,1,18,1,23,1942,2,2316,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1942,2,2316,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1942,2,2316,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1942,2,2316,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1942,2,2316,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1942,2,2316,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1942,2,2316,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1942,2,2316,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
2400000,10,1,25,2,11,1959,1,1679,1880,6,3,3,0,1,0,2,8,2,7,5,2,1,7,4,1
1300000,10,3,39,1,13,1953,1,1022,827,5,2,1,0,1,0,2,8,2,4,6,2,1,7,12,9
1300000,10,3,39,1,13,1953,1,1022,871,4,2,1,0,1,0,2,8,2,4,6,2,1,7,12,9
475000,6,1,18,1,23,1946,2,2595,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1946,2,2682,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1946,2,2770,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1946,2,2857,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1946,2,2944,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1946,2,3032,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
475000,6,1,18,1,23,1946,2,3429,1216,6,2,2,0,2,0,1,8,2,4,2,2,4,7,4,1
883200,9,1,56,1,12,1953,1,6350,1248,6,3,2,0,1,1,1,8,2,2,7,2,1,22,12,3
3950000,10,1,25,2,11,1982,1,1931,1376,3,3,2,0,1,1,1,13,3,7,4,11,5,7,4,1
1350000,10,2,7,1,23,1942,4,3220,3280,18,6,4,0,4,0,1,8,2,4,2,2,1,7,4,9
1628000,10,3,39,1,11,1966,1,1800,2012,7,3,1,1,1,0,1,8,2,4,5,1,1,4,4,9
1395000,10,1,49,2,12,1946,1,13808,2724,6,6,3,0,1,0,2,8,2,2,7,1,6,7,12,3
1350000,10,2,7,1,23,1942,4,4692,3520,18,6,4,0,4,0,1,8,2,4,2,2,1,7,4,1
780000,8,3,52,1,11,1953,1,3272,1184,6,2,1,1,1,0,1,8,2,4,4,2,1,7,1,9
882000,9,3,52,1,11,1953,1,1650,1586,6,3,1,0,1,0,1,8,2,4,4,2,1,7,4,1
3000000,10,1,9,3,24,1953,4,1735,2302,12,6,4,0,4,3,2,8,2,4,5,2,5,7,12,9
1100000,10,1,39,1,23,1959,2,2654,1120,6,2,2,0,2,1,1,8,3,4,2,1,1,7,4,9
5250000,10,2,7,1,24,2016,2,2246,4400,10,4,6,2,2,2,1,6,3,7,4,1,7,7,4,12
5250000,10,2,7,1,24,2016,2,2246,4400,10,4,6,2,2,2,1,6,3,7,4,1,7,7,4,12
5250000,10,2,7,1,24,2016,2,2246,4400,10,4,6,2,2,2,1,6,3,7,5,1,7,7,4,12
5250000,10,2,7,1,24,2016,2,2246,4400,10,4,6,2,2,2,1,6,3,7,5,1,7,7,4,12
1400000,10,1,42,2,12,1946,2,5000,2667,12,4,2,0,2,2,1,13,3,5,2,1,1,23,4,9
550000,6,1,3,3,24,1953,2,9327,1956,10,6,2,0,2,0,2,14,2,4,7,2,1,7,5,9
2400000,10,1,25,2,11,1959,1,2984,2484,8,3,4,1,1,0,2,8,2,7,5,2,1,7,4,1
1350000,10,3,7,1,23,1942,4,3833,3520,18,6,4,0,4,0,1,8,2,4,2,2,1,7,4,1
680000,7,3,52,1,11,1942,1,1377,1088,6,3,1,0,1,0,1,8,2,4,5,2,1,7,12,1
3280002,10,1,47,1,23,1950,4,3150,2800,16,4,4,0,4,0,1,8,2,4,2,8,4,7,10,1
3280002,10,1,47,1,23,1950,4,3150,2800,16,4,4,0,4,0,1,8,2,4,2,8,4,7,10,1
834000,9,3,52,1,11,1953,1,1595,1406,12,4,2,0,1,0,1,8,2,4,5,2,1,20,4,9
1150000,10,2,15,2,24,1956,2,1971,2050,6,3,1,2,2,0,1,8,2,4,4,1,1,7,5,9
654500,7,1,16,3,23,1953,4,3660,2556,16,4,4,0,4,0,2,8,2,4,2,2,5,7,4,1
1400000,10,4,39,3,13,1953,1,1609,693,5,1,1,0,1,0,2,8,2,4,6,2,5,2,12,9
1196443,10,2,32,1,11,2016,1,906,1236,5,3,2,1,1,0,2,6,3,4,5,1,7,4,5,3
2400000,10,4,7,1,23,1963,4,4163,5049,16,4,4,0,4,0,1,6,3,4,2,2,5,7,4,1
1225000,10,1,39,1,11,1953,1,1493,1490,6,3,1,1,2,0,1,8,3,4,5,9,1,7,12,10
1196443,10,2,32,1,11,2016,1,1132,1520,7,3,2,1,1,0,2,6,3,4,5,1,7,4,5,3
715000,8,3,18,1,23,1955,3,20469,2340,12,3,3,0,3,0,2,6,3,7,2,2,1,7,4,1
3280002,10,1,47,1,23,1950,4,3150,2800,16,4,4,0,4,0,1,6,2,4,2,2,4,7,10,1
465000,6,1,32,1,11,1953,1,1504,832,5,2,1,0,1,0,1,13,3,4,5,2,1,7,4,1
3280002,10,1,47,1,23,1956,4,4038,2800,16,4,4,0,4,0,1,8,2,4,2,2,4,7,10,3
776000,8,2,42,2,11,1942,1,2545,1408,8,2,1,0,1,0,1,8,2,4,5,2,1,7,4,9
500000,6,1,2,3,23,1953,4,5339,2556,16,4,4,0,4,0,1,8,2,4,2,2,1,3,3,14
2000000,10,3,40,2,24,1959,2,2375,4004,15,6,3,0,2,0,2,8,2,7,4,9,1,7,1,1
1450000,10,2,31,2,24,1959,2,1900,3334,9,7,3,0,2,0,1,8,2,7,4,9,1,7,5,1
1100000,10,3,40,2,11,1953,1,718,704,4,2,1,0,1,0,1,6,2,4,5,2,1,7,4,1
765000,8,2,52,1,23,1942,4,3304,3108,16,4,4,0,4,0,1,8,2,4,2,2,1,7,4,1
835000,9,2,42,2,11,1942,1,1824,1382,8,3,1,1,1,1,1,8,2,4,4,2,1,7,4,3
3280002,10,1,47,1,23,1956,4,3150,2800,16,4,4,0,4,0,1,8,2,4,2,2,4,7,10,1
3280002,10,1,47,1,23,1956,4,3150,2800,16,4,4,0,4,0,1,8,2,4,2,2,4,7,10,1
3280002,10,1,47,1,23,1956,4,3150,2800,16,4,4,0,4,0,1,8,2,4,2,2,4,7,10,1
3280002,10,1,47,1,23,1956,4,3150,2800,16,4,4,0,4,0,1,8,2,4,2,2,4,7,10,1
3280002,10,1,47,1,23,1956,4,3150,2800,16,4,4,0,4,0,1,8,2,4,2,2,4,7,10,1
750000,8,1,15,2,11,1953,1,1209,1120,6,3,1,0,1,1,1,8,2,4,4,2,1,20,4,9
644000,7,3,52,1,11,1953,1,1490,1170,6,3,1,0,1,0,1,8,2,4,4,2,1,7,4,9
475000,6,1,18,1,23,1942,4,3414,2652,12,4,4,0,4,0,1,8,2,4,2,2,4,7,4,1
3280002,10,1,47,1,23,1956,4,4389,2800,16,4,4,0,4,0,1,8,2,4,2,2,4,7,10,1
3280002,10,1,47,1,23,1956,4,3150,2800,16,4,4,0,4,0,1,8,2,5,2,2,4,7,10,1
475000,6,1,18,1,23,1942,4,4150,2652,12,4,4,0,4,0,1,8,2,4,2,2,4,7,4,1
485000,6,3,52,1,23,1959,2,1408,1152,6,2,2,0,2,0,1,6,2,4,2,2,1,7,1,1
805000,8,4,52,1,11,1953,1,2400,1170,6,5,2,0,1,0,1,8,2,4,5,2,1,7,4,13
575000,7,3,5,1,12,1953,1,3600,1480,6,3,2,0,1,0,1,6,2,4,7,2,1,22,1,3
3725000,10,5,25,2,11,1966,1,2500,2146,9,3,2,2,1,0,1,13,3,4,5,3,1,20,4,9
550000,6,2,19,1,11,1953,1,1575,1596,5,3,2,0,1,0,1,5,2,4,5,2,1,7,4,1
875000,9,2,15,2,11,1956,1,3022,1536,7,3,1,0,1,0,1,8,2,4,5,1,1,7,4,9
699000,8,3,52,1,11,1953,1,2550,1374,8,3,2,0,1,0,1,8,2,4,5,2,1,7,4,1
3100000,10,3,38,2,12,1962,1,7756,2296,8,4,3,1,1,2,1,8,2,5,7,12,1,7,4,13
3280002,10,1,47,1,23,1956,4,3150,2800,16,4,4,0,4,0,1,8,2,3,2,2,4,7,10,1
796500,8,3,52,1,11,1963,1,1418,1054,6,3,1,0,1,0,1,8,2,4,5,2,5,7,4,1
675000,7,3,52,1,11,1963,1,1650,1144,6,3,1,1,1,0,1,8,2,4,5,2,1,7,4,1
1079500,9,1,40,2,23,1956,3,1878,2970,11,6,3,0,3,0,2,8,2,7,2,1,1,7,4,9
820000,8,3,15,2,11,1953,1,1000,1264,0,0,1,0,1,0,1,13,3,4,5,2,1,7,12,1
370000,5,1,32,1,12,1935,1,5313,1920,7,3,1,1,1,1,1,6,2,4,7,8,1,22,1,1
800000,8,3,19,1,11,1960,1,1862,1488,6,3,1,1,1,0,1,8,2,4,5,2,1,7,5,1
359990,4,1,3,3,23,1953,2,2720,2304,6,4,2,2,2,0,1,13,3,4,2,2,1,7,4,1
1400000,10,4,39,3,13,1953,1,2711,1218,6,3,1,1,1,0,2,6,2,4,6,2,5,2,4,9
1950000,10,1,41,2,12,1977,1,6584,1344,5,1,1,0,1,0,1,6,3,2,7,3,5,23,4,3
895000,9,1,40,2,12,1963,1,1425,1100,4,1,2,0,1,0,2,6,3,1,7,2,1,7,6,1
615500,7,2,19,1,23,1953,2,1800,1912,4,3,2,0,2,0,1,8,2,4,2,2,1,7,4,1
500000,6,1,2,3,23,1954,2,5141,2556,8,6,4,0,2,0,1,13,3,4,2,2,1,7,4,1
590000,7,3,52,1,11,1953,1,1613,968,6,3,1,0,1,0,1,8,2,4,4,2,1,7,4,1
560000,6,2,56,1,12,1956,1,2367,1380,6,3,1,0,1,0,2,8,2,4,7,2,1,23,5,3
380000,5,1,16,3,23,1963,2,2941,2584,12,6,2,0,2,0,1,13,3,4,2,2,1,7,4,1
631000,7,1,15,2,11,1956,1,1900,1404,8,3,1,0,1,0,1,8,2,4,5,1,1,7,1,9
918000,9,3,15,2,11,1956,1,2000,1332,6,3,1,0,1,0,1,8,2,4,5,1,1,7,4,9
1000000,9,3,40,2,11,1953,1,1672,1424,7,3,1,0,1,0,2,8,2,4,5,2,1,7,12,9
1525000,10,2,1,2,13,1959,1,4929,1512,9,4,2,0,1,1,2,8,2,4,6,9,1,20,4,9
655000,7,4,52,1,11,1953,1,1418,1326,6,3,1,0,1,0,1,6,2,4,5,2,1,7,4,9
875000,9,1,39,1,24,1959,2,1666,2382,8,2,2,0,2,0,1,8,2,4,2,9,1,7,12,9
1075000,9,4,15,2,11,1956,1,2105,1964,9,3,1,0,1,0,1,8,2,4,4,1,1,7,4,9
670000,7,3,15,2,11,1956,0,1063,954,0,0,1,0,1,0,1,8,2,7,5,1,1,10,12,1
530000,6,3,52,1,11,1949,1,1600,1262,8,2,1,1,1,0,1,8,2,4,5,2,1,7,1,1
1135000,10,1,39,1,11,1963,1,973,2010,6,3,2,0,1,0,2,6,3,4,4,2,5,7,4,9
5700000,10,2,25,2,13,1982,1,10350,4926,11,5,4,1,1,2,1,13,3,7,6,11,5,7,4,9
725000,8,3,42,2,11,1942,1,1607,1116,6,3,1,0,1,0,1,8,2,4,5,2,1,7,4,9
805000,8,2,31,2,11,1956,1,2844,1240,6,3,1,1,1,0,1,8,2,4,5,1,4,7,5,1
428000,5,1,16,3,23,1954,4,5159,2812,12,4,4,0,4,0,1,8,2,4,2,2,1,7,4,1
575000,7,1,39,4,23,1942,2,1384,1120,6,2,2,0,2,0,1,8,2,4,2,2,1,7,4,1
1425000,10,2,40,2,11,1966,1,2742,1888,6,3,2,1,1,0,1,8,3,4,5,1,1,7,4,1
3675000,10,2,54,2,12,2012,1,13940,994,5,0,2,1,1,0,1,6,3,1,7,11,7,20,4,13
420000,5,2,52,1,23,1952,2,1200,1184,6,2,2,0,2,0,1,6,2,4,2,2,1,7,4,1
420000,5,2,52,1,23,1952,2,1200,1184,6,2,2,0,2,0,1,6,2,4,2,2,1,7,4,1
774900,8,3,42,2,11,1949,1,1765,1740,6,3,1,0,1,0,1,8,2,4,5,2,1,23,4,9
4500000,10,1,25,2,12,1975,1,7200,3204,9,5,4,1,1,3,1,13,3,7,7,11,5,23,4,13
3550000,10,1,29,2,12,1995,1,4875,3419,6,3,3,1,1,2,1,13,3,4,7,11,5,7,4,3
470000,6,2,52,1,11,1953,1,1298,1294,0,0,1,0,1,0,1,6,2,4,5,2,1,7,4,1
425000,5,1,16,3,23,1953,4,4283,2800,12,6,4,0,4,0,2,8,2,4,2,2,1,7,4,1
670000,7,1,15,2,11,1953,1,1331,1080,7,3,2,0,1,0,1,8,2,4,5,2,1,7,4,1
963000,9,2,39,1,23,1966,2,2970,2628,12,4,2,0,2,2,1,13,3,4,2,1,1,7,12,9
430000,5,1,18,1,23,1963,2,4435,2048,12,6,4,0,2,0,2,8,3,4,2,2,1,7,12,1
1760000,10,4,40,2,24,1966,1,1616,2517,7,2,1,1,1,0,1,8,2,4,5,1,5,7,5,1
480000,6,1,43,3,23,1956,4,2897,2880,16,6,4,0,4,0,1,8,2,4,2,1,1,7,4,9
499900,6,3,52,1,11,1953,1,1246,1020,6,3,1,0,1,0,1,13,2,4,5,2,1,7,4,9
700000,8,1,39,1,23,1963,2,1666,2346,8,2,2,0,2,0,1,8,2,4,5,1,1,7,12,9
732325,8,3,42,2,11,1949,1,1421,1336,7,3,1,0,1,0,1,8,2,4,5,2,1,7,4,13
1750000,10,1,40,2,24,1971,2,868,2464,9,6,2,1,2,0,1,13,3,7,5,12,5,7,4,1
1066000,9,1,49,2,12,1959,1,3585,2586,10,4,3,1,1,1,1,8,2,5,7,9,1,18,4,3
596000,7,1,39,1,23,1963,2,1843,1794,8,4,2,0,2,0,1,8,2,4,2,2,1,7,12,9
440000,5,1,28,3,23,1953,3,2848,1760,10,4,2,0,3,0,1,8,3,4,2,2,1,7,4,1
329900,4,3,16,3,23,1948,2,2007,1332,6,2,2,0,2,0,1,6,2,4,2,2,1,7,4,9
950000,9,3,42,2,12,1946,1,5000,1953,8,4,1,0,1,1,1,8,2,4,7,1,1,23,4,3
730000,8,4,52,1,11,1953,1,2664,1408,0,3,2,1,1,0,1,8,2,4,4,2,1,7,4,9
480000,6,1,52,1,11,1953,1,2595,1296,7,3,2,0,1,0,1,8,2,4,5,2,1,7,4,1
299000,4,2,18,1,13,1944,1,2420,810,4,2,1,0,1,0,1,6,2,4,6,2,1,4,4,3
714500,8,3,42,2,11,1942,1,2565,1080,8,3,1,0,1,0,1,8,2,4,5,2,1,7,4,1
300000,4,1,16,3,12,1953,1,6250,686,7,4,1,0,1,0,2,8,2,1,7,2,1,22,4,3
465000,6,2,52,1,11,1942,1,1270,1336,5,2,1,0,1,0,1,8,2,4,5,2,1,7,4,1
1675000,10,3,31,2,24,1968,2,5375,3102,8,5,3,0,2,0,2,8,2,4,7,9,5,7,5,13
360000,4,1,22,3,23,1953,2,3565,2444,10,6,3,0,2,0,1,6,2,4,2,2,1,7,5,9
6500000,10,1,25,2,12,1986,1,35124,4889,12,6,5,1,2,2,1,13,3,7,7,4,1,7,4,13
1525000,10,2,1,2,13,1956,1,3975,1208,8,4,1,1,1,1,2,8,2,4,6,1,5,20,4,9
489000,6,1,28,3,12,1956,1,5506,1300,6,3,1,0,1,1,1,8,2,4,7,1,1,7,4,3
750000,8,3,42,2,11,1942,1,1800,1360,10,3,1,1,1,0,1,8,2,4,5,2,1,7,4,13
365000,4,2,32,1,23,1956,2,4052,1548,10,4,2,0,2,0,1,8,2,4,2,2,1,3,4,1
745000,8,3,42,2,11,1942,1,2565,1152,6,3,1,1,1,0,1,8,2,4,5,2,4,7,4,9
261000,3,1,18,1,12,1946,1,5488,1156,5,2,1,0,1,0,2,8,2,2,7,8,1,22,12,3
430000,5,1,18,1,23,1971,2,2513,2200,12,4,4,0,2,0,2,6,3,4,2,2,1,7,4,1
330000,4,1,16,3,11,1953,2,2000,1296,8,3,1,0,2,0,1,6,3,4,2,2,1,7,4,1
545000,6,3,52,1,11,1953,1,1487,1260,7,3,1,0,1,0,1,8,2,4,5,2,1,7,4,1
755000,8,3,42,2,11,1953,1,1494,1116,6,3,1,1,1,0,1,8,2,4,5,2,1,7,4,9
680000,7,2,15,2,11,1956,1,1371,1384,7,3,1,0,1,0,1,8,2,4,6,1,1,22,4,9
750000,8,3,42,2,11,1953,1,1606,1080,6,3,1,1,1,0,1,8,2,4,5,2,1,7,4,9
3950000,10,1,25,2,13,1991,1,3403,2958,8,3,3,1,1,4,1,13,3,5,4,11,5,23,4,9
574000,7,2,19,1,11,1960,1,1296,1264,6,3,1,0,1,0,1,8,2,4,4,2,1,7,5,1
1200000,10,3,40,2,24,1959,2,1710,1402,7,3,2,0,2,0,1,8,2,4,5,9,1,7,12,9
750000,8,3,42,2,11,1949,1,1700,1280,6,3,1,1,1,0,1,8,2,4,5,2,1,7,4,9
358333,4,1,32,1,11,1946,1,2267,1472,6,3,1,0,1,0,1,8,2,4,5,2,1,7,4,13
1065000,9,3,39,1,11,1966,1,1904,888,7,3,1,1,1,0,1,6,3,4,5,1,1,7,4,1
358333,4,1,32,1,11,1946,1,2628,1472,6,3,1,0,1,0,1,8,2,4,4,2,1,7,4,13
525000,6,3,52,1,11,1953,1,1232,992,6,3,1,0,1,0,1,8,2,4,5,2,1,7,4,1
1430000,10,2,9,3,23,1956,4,2762,3142,16,6,4,0,4,0,2,8,2,4,2,1,1,7,4,1
615000,7,2,42,2,11,1942,1,2100,1200,8,4,1,0,1,0,1,8,2,4,5,2,1,7,4,9
480000,6,1,5,1,23,1953,4,1500,1800,12,4,4,0,4,0,1,8,2,4,2,2,1,7,4,1
550000,6,1,52,1,23,1960,4,1904,3210,0,4,4,0,4,0,1,6,2,4,2,2,1,7,4,9
385000,5,1,16,4,23,1953,4,4330,2652,12,4,4,0,4,0,1,8,2,4,2,2,1,7,4,1
825000,9,3,42,2,12,1942,1,2426,1197,6,3,2,0,1,1,1,8,2,4,7,2,1,23,4,3
355000,4,1,2,3,12,1946,1,8428,1554,6,3,1,0,1,0,2,6,2,4,7,1,1,23,12,3
850000,9,2,31,2,11,1956,1,1318,1336,6,3,2,0,1,0,1,6,3,4,5,1,1,7,5,1
383333,5,1,16,3,23,1954,4,3424,2540,12,4,4,0,4,0,1,8,2,4,2,2,1,7,4,1
880000,9,3,39,1,11,1963,1,3598,1546,6,3,2,0,1,0,2,8,2,4,4,2,1,2,5,1
600000,7,1,39,1,11,1946,1,1364,1199,6,3,1,0,1,0,1,8,2,4,5,1,6,7,12,10
625000,7,1,15,2,11,1953,1,1423,1860,7,3,2,0,1,1,2,12,2,7,5,2,1,7,12,9
1600000,10,3,40,2,11,1968,1,1544,2196,7,4,2,0,1,0,1,12,2,4,5,9,5,7,12,1
900000,9,1,40,2,11,1953,1,1755,1860,6,3,2,0,1,1,1,8,2,4,5,2,1,7,4,1
700000,8,3,42,2,11,1942,1,1600,1040,7,3,1,1,1,0,1,8,2,4,5,2,1,7,4,9
393000,5,1,28,3,12,1956,1,3442,1070,5,2,1,0,1,0,1,6,2,1,7,1,1,22,4,3
1337000,10,1,39,3,23,1966,4,2660,3296,12,4,4,0,4,0,1,13,3,4,2,1,5,7,4,1
285000,3,1,16,4,13,1967,1,3063,992,6,3,1,1,1,0,1,6,2,4,6,2,1,4,4,3
750000,8,1,39,3,11,1956,1,1494,1353,6,3,1,1,1,0,1,8,2,4,5,1,1,7,4,9
340000,4,1,2,3,23,1949,3,3079,2400,9,3,3,0,3,0,2,8,2,4,2,2,1,7,4,13
885000,9,1,40,2,11,1967,1,1755,1860,7,3,2,0,1,0,1,8,2,4,5,2,1,7,4,1
2499000,10,2,30,2,12,1971,1,12525,3235,10,5,4,1,1,1,2,13,3,4,7,9,1,23,4,1
730116,8,1,39,3,11,1956,1,1767,1616,6,3,1,0,1,1,2,8,2,4,5,1,1,7,12,1
502000,6,3,52,1,11,1953,1,1613,980,7,3,1,0,1,0,1,8,2,4,4,2,1,7,4,9
430000,5,1,18,1,23,1967,2,3033,2200,12,4,4,0,4,0,2,6,3,4,2,2,1,7,4,1
4500000,10,1,25,2,24,1982,2,3898,3444,18,3,3,1,2,7,2,13,3,5,5,11,5,7,4,3
780000,8,2,39,1,23,1953,2,1897,2160,10,3,2,0,2,2,1,6,3,4,2,2,1,7,12,9
440000,5,2,52,1,11,1942,1,2500,1326,6,2,1,0,1,0,1,8,2,4,4,2,1,7,4,1
785000,8,1,39,1,11,1966,1,1402,1532,6,3,1,2,1,0,1,8,2,4,4,1,1,7,4,9
410000,5,1,16,3,23,1953,2,5235,2244,12,8,4,0,2,0,1,6,3,4,2,2,1,7,4,1
500000,6,4,16,3,12,1942,1,3243,704,10,4,2,0,1,0,1,13,3,1,7,2,1,9,4,1
1330000,10,2,9,3,11,1949,1,2097,2936,11,4,2,0,1,0,2,8,2,4,5,9,1,7,4,9
372500,5,1,52,1,11,1953,1,2498,1336,4,3,1,1,1,0,1,6,2,4,5,2,1,7,1,1
800000,8,2,40,2,11,1946,1,1200,1294,7,3,1,0,1,0,1,8,2,4,5,1,1,7,12,9
803150,8,2,31,2,11,1956,1,2880,1494,6,3,2,0,1,0,1,8,2,4,5,1,4,7,4,1
3500000,10,1,40,2,11,1982,1,2434,4333,14,7,4,2,1,0,1,8,3,7,7,11,7,7,4,1
300000,4,1,16,3,11,1956,1,1800,1152,5,3,1,1,1,0,1,6,2,4,5,2,1,7,4,1
270000,3,1,16,3,11,1985,1,1152,1134,5,3,1,1,1,0,2,13,3,4,5,2,1,3,1,3
950000,9,2,15,2,24,1956,2,2719,2472,9,5,3,0,2,0,2,8,2,4,5,1,1,7,4,9
871000,9,4,49,2,11,1949,1,1976,1472,7,3,1,1,1,1,1,8,2,4,4,9,1,7,1,9
475000,6,1,28,3,12,1956,1,4130,1611,6,3,1,1,1,1,1,8,2,4,7,1,1,7,5,13
900000,9,2,15,2,11,1956,1,2472,2579,11,5,3,0,1,0,1,8,2,7,5,1,1,7,12,9
550000,6,1,39,3,11,1953,1,1109,1288,4,3,1,0,1,0,2,6,2,4,6,2,1,22,4,3
702000,8,2,49,2,11,1949,1,2160,1706,7,3,1,0,1,0,1,8,2,4,5,9,1,7,4,9
375000,5,1,33,3,23,1955,4,3938,2340,10,4,4,0,4,0,1,8,2,4,2,2,1,7,4,1
475000,6,1,42,2,23,1963,2,1100,1450,8,2,2,0,2,0,1,8,2,4,2,2,1,7,4,9
708750,8,1,6,2,13,1953,1,2090,1660,8,4,2,2,1,1,1,8,2,4,6,2,1,7,4,1
714520,8,1,40,2,11,1953,1,1492,1404,6,3,1,0,1,0,1,8,2,4,5,2,1,7,4,1
3800000,10,1,25,2,12,1990,1,3131,2592,8,4,4,1,1,1,2,13,3,7,7,3,7,7,4,13
650000,7,3,42,2,11,1953,1,1312,928,6,3,1,0,1,0,1,8,2,4,5,2,1,7,4,9
515000,6,1,2,3,23,1963,4,7065,2736,16,4,4,0,4,0,2,8,2,4,2,2,5,7,12,1
1225000,10,1,39,1,13,1966,1,794,1144,6,3,2,1,1,1,1,6,3,4,4,1,5,7,4,10
368000,5,1,16,3,23,1953,4,3988,2652,16,4,4,0,4,0,1,8,2,4,2,2,1,7,4,1
365000,4,2,32,1,23,1956,2,4124,1548,10,4,2,0,2,0,1,8,2,4,2,2,1,7,4,1
960000,9,4,19,2,11,1959,1,1263,1432,6,3,1,0,1,0,1,8,2,4,5,9,1,7,4,1
539000,6,1,42,2,11,1953,1,1600,1640,6,2,1,0,1,0,1,8,2,4,5,2,1,7,4,1
245000,3,1,16,3,13,1948,1,2763,1152,6,3,1,0,1,0,1,13,2,4,6,2,1,7,12,1
585000,7,2,52,1,23,1953,4,2896,2856,16,4,4,0,4,0,1,8,2,4,2,2,1,7,4,1
